MARITAL_STATUS,STATE,CREDIT_BALANCE,CUSTOMER_TENURE,MORTGAGE_AMOUNT,BANK_FUNDS,NUM_DEPENDENTS,HAS_CHILDREN,INCOME,GENDER,PROFESSION,CREDIT_CARD_LIMITS,REGION,HOME_OWNERSHIP,NUM_ONLINE_TRANS,BUY_INSURANCE,MONTHLY_CHECKS,NUM_TRANS_KIOSK,AGE,MONEY_MONTLY_OVERDRAWN,TOTAL_AUTOM_PAYMENTS,NUM_TRANS_TELLER,CHECKING_BALANCE,NUM_TRANS_ATM,LTV_BIN,NUM_MORTGAGES,CAR_OWNERSHIP
SINGLE,California,0,3,0,0,3,0,65871,M,Healthcare,1000,West,0,0,No,0,1,24,53.06,0,0,25,0,MEDIUM,0,0
SINGLE,New York,0,4,0,290,4,0,68747,M,IT,700,NorthEast,0,0,Yes,1,1,35,53.84,287,2,25,4,MEDIUM,0,1
MARRIED,Michigan,0,3,1000,550,3,0,68684,M,IT,1000,Midwest,1,1000,Yes,14,1,26,53.48,132,2,25,4,HIGH,1,1
MARRIED,Utah,0,5,1200,1000,5,0,59354,F,Public Safety,2500,Southwest,1,1200,No,4,5,24,53.08,628,3,619,1,MEDIUM,1,1
MARRIED,Utah,0,4,1800,0,3,0,84801,F,Undefined,2500,Southwest,1,1800,No,0,5,47,53.06,0,0,25,0,VERY HIGH,1,1
MARRIED,Utah,0,1,1400,0,1,0,73987,M,Education,2500,Southwest,1,1400,No,0,5,46,53.06,0,0,25,0,VERY HIGH,1,1
SINGLE,Utah,0,3,578,0,3,0,51452,M,Customer Service,2500,Southwest,1,578,No,0,5,33,53.06,0,0,25,0,MEDIUM,1,1
SINGLE,Utah,0,3,0,0,3,0,63181,M,Construction and Trades,2500,Southwest,0,0,No,1,5,49,53.07,0,0,25,1,MEDIUM,0,0
SINGLE,Utah,0,5,117,0,5,0,66654,F,Undefined,2500,Southwest,1,117,No,0,5,21,53.06,0,0,25,0,MEDIUM,1,1
SINGLE,Utah,0,3,0,250,3,0,61716,M,IT,1500,Southwest,0,0,No,3,5,26,53.04,0,2,25,2,LOW,0,0
MARRIED,Utah,0,1,786,0,1,0,60417,M,Undefined,2500,Southwest,1,786,No,0,5,45,53.06,0,0,25,0,HIGH,1,1
MARRIED,Utah,0,3,1000,0,3,0,67781,M,IT,1500,Southwest,1,1000,No,2,5,25,53.05,0,0,25,2,HIGH,1,1
DIVORCED,California,0,1,3000,16950,1,1,64557,F,Undefined,1000,West,1,2800,Yes,4,3,48,54.56,2143,5,25,5,HIGH,1,1
MARRIED,New York,0,3,1200,1000,3,1,54636,M,Undefined,1500,NorthEast,1,1200,No,15,1,22,53.18,3707,3,3079,3,MEDIUM,1,1
MARRIED,Oregon,0,1,900,0,1,1,70239,M,Undefined,900,West,1,900,No,8,1,69,53.09,635,1,120,1,HIGH,1,1
MARRIED,Michigan,109,1,1200,0,1,0,65853,M,Construction and Trades,500,Midwest,1,1200,No,13,1,45,53.22,2159,1,1223,3,HIGH,1,1
MARRIED,New York,19204,2,1200,1200,2,1,65968,F,Education,700,NorthEast,1,1200,No,2,2,49,54.02,20020,3,304,5,HIGH,1,1
DIVORCED,New York,1375,4,3000,5700,6,1,58686,F,Undefined,1700,NorthEast,1,1500,No,4,2,53,54.19,13620,4,11687,5,MEDIUM,1,1
MARRIED,Florida,0,1,1400,0,1,0,60461,M,Education,900,South,1,1400,No,0,2,30,53.07,503,0,25,1,HIGH,1,1
MARRIED,Michigan,35208,1,8000,26500,1,1,68468,F,Administrative and Clerical,900,Midwest,1,5000,No,4,8,47,54.51,36647,3,25,5,HIGH,1,1
SINGLE,Michigan,25209,2,0,6725,0,1,66144,M,Undefined,500,Midwest,0,1056,Yes,1,3,40,54.18,48524,1,20614,5,MEDIUM,0,1
SINGLE,California,0,2,0,0,0,0,64150,M,Administrative and Clerical,500,West,0,0,No,0,3,54,56.3,504,1,25,6,HIGH,0,1
MARRIED,Illinois,0,3,1061,850,3,1,62754,M,Customer Service,1000,Midwest,1,1061,Yes,12,2,58,55.12,582,3,25,5,MEDIUM,1,1
SINGLE,California,0,3,0,500,3,0,65408,M,IT,1000,West,0,0,Yes,4,1,20,53.5,160,2,25,4,LOW,0,1
